Object kind,Source reference,Company,Location,Meter,Point,Unit,Interval minutes,Measure Type,Reading Type,Archive Interval,Index,How Created,Meter Number,Provider Meter Number,Multiplier,Utility Provider,Bill Cycle,Billing Account,Installed point ID,Installed meter ID,Installed gateway ID,Installed node ID,Status,Evidence
Meter,ved_admin_hall_main,Northlake University,Admin Hall,Admin Hall Electric Main,,,,Electric,,,,Enter,SYN-VED-M-0040001,VED-BADGE-0040001,,Valley Electric District,1,SYN-VED-A-0010001,,,,,Not entered,
Meter,ved_science_center_interval,Northlake University,Science Center,Science Center Electric Main,,,,Electric,,,,Enter,SYN-VED-M-0040002,VED-BADGE-0040002,,Valley Electric District,1,SYN-VED-A-0010002,,,,,Not entered,
Point,ch_ved_science_center_kwh_15m,Northlake University,Science Center,Science Center Electric Main,Delivered kWh 15m,kWh,15,Electric,Analog,15,,Enter,,,,,,,,,,,Not entered,
Point,ch_ved_science_center_kw_15m,Northlake University,Science Center,Science Center Electric Main,Demand kW 15m,kW,15,Electric,Analog,15,,Enter,,,,,,,,,,,Not entered,
Meter,ved_science_center_lab_wing,Northlake University,Science Center,Science Center Electric Lab Wing,,,,Electric,,,,Enter,SYN-VED-M-0040007,VED-BADGE-0040007,40,Valley Electric District,1,SYN-VED-A-0010002,,,,,Not entered,
Meter,ved_library_main_before_replacement,Northlake University,Library,Library Electric Old Meter,,,,Electric,,,,Enter,SYN-VED-M-0040003,VED-BADGE-0040003,,Valley Electric District,1,SYN-VED-A-0010003,,,,,Not entered,
Meter,ved_library_main_after_replacement,Northlake University,Library,Library Electric New Meter,,,,Electric,,,,Enter,SYN-VED-M-0040103,VED-BADGE-0040103,,Valley Electric District,1,SYN-VED-A-0010003,,,,,Not entered,
Meter,ved_student_center_interval,Northlake University,Student Center,Student Center Electric Main,,,,Electric,,,,Enter,SYN-VED-M-0040004,VED-BADGE-0040004,,Valley Electric District,1,SYN-VED-A-0010004,,,,,Not entered,
Point,ch_ved_student_center_kwh_15m,Northlake University,Student Center,Student Center Electric Main,Delivered kWh 15m,kWh,15,Electric,Analog,15,,Enter,,,,,,,,,,,Not entered,
Point,ch_ved_student_center_kw_15m,Northlake University,Student Center,Student Center Electric Main,Demand kW 15m,kW,15,Electric,Analog,15,,Enter,,,,,,,,,,,Not entered,
Meter,ved_lakeview_hall_main,Northlake University,Lakeview Residence Hall,Lakeview Hall Electric Main,,,,Electric,,,,Enter,SYN-VED-M-0040008,VED-BADGE-0040008,,Valley Electric District,1,SYN-VED-A-0010007,,,,,Not entered,
Point,ch_ved_lakeview_hall_kwh_15m,Northlake University,Lakeview Residence Hall,Lakeview Hall Electric Main,Delivered kWh 15m,kWh,15,Electric,Analog,15,,Enter,,,,,,,,,,,Not entered,
Point,ch_ved_lakeview_hall_kw_15m,Northlake University,Lakeview Residence Hall,Lakeview Hall Electric Main,Demand kW 15m,kW,15,Electric,Analog,15,,Enter,,,,,,,,,,,Not entered,
Meter,ved_recreation_center_main,Northlake University,Recreation and Aquatics Center,Recreation Center Electric Main,,,,Electric,,,,Enter,SYN-VED-M-0040009,VED-BADGE-0040009,,Valley Electric District,1,SYN-VED-A-0010008,,,,,Not entered,
Point,ch_ved_recreation_center_kwh_15m,Northlake University,Recreation and Aquatics Center,Recreation Center Electric Main,Delivered kWh 15m,kWh,15,Electric,Analog,15,,Enter,,,,,,,,,,,Not entered,
Point,ch_ved_recreation_center_kw_15m,Northlake University,Recreation and Aquatics Center,Recreation Center Electric Main,Demand kW 15m,kW,15,Electric,Analog,15,,Enter,,,,,,,,,,,Not entered,
Meter,ved_parking_structure_main,Northlake University,Parking Structure,Parking Structure Electric Main,,,,Electric,,,,Enter,SYN-VED-M-0040010,VED-BADGE-0040010,,Valley Electric District,1,SYN-VED-A-0010009,,,,,Not entered,
Meter,ved_campus_area_lighting,Northlake University,Campus Grounds,Campus Grounds Area Lighting,,,,Electric,,,,Enter,SYN-VED-M-0040011,VED-BADGE-0040011,,Valley Electric District,1,SYN-VED-A-0010010,,,,,Not entered,
Meter,ved_cedar_row_a_master,Cedar Row Apartments,Cedar Row A,Cedar Row A Electric Master,,,,Electric,,,,Enter,SYN-VED-M-0040005,VED-BADGE-0040005,,Valley Electric District,1,SYN-VED-A-0010005,,,,,Not entered,
Meter,ved_cedar_row_b_master,Cedar Row Apartments,Cedar Row B,Cedar Row B Electric Master,,,,Electric,,,,Enter,SYN-VED-M-0040006,VED-BADGE-0040006,,Valley Electric District,1,SYN-VED-A-0010006,,,,,Not entered,
Meter,ved_cedar_row_common_house_main,Cedar Row Apartments,Cedar Row Common House,Common House Electric Main,,,,Electric,,,,Enter,SYN-VED-M-0040012,VED-BADGE-0040012,,Valley Electric District,1,SYN-VED-A-0010011,,,,,Not entered,
Meter,ved_cedar_row_parking_lighting,Cedar Row Apartments,Cedar Row Carport and Grounds,Cedar Row Parking Lighting,,,,Electric,,,,Enter,SYN-VED-M-0040013,VED-BADGE-0040013,,Valley Electric District,1,SYN-VED-A-0010012,,,,,Not entered,
Meter,ved_central_plant_main,Northlake Thermal Plant,Central Plant,Central Plant Electric Service,,,,Electric,,,,Enter,SYN-VED-M-0040014,VED-BADGE-0040014,,Valley Electric District,1,SYN-VED-A-0010013,,,,,Not entered,
Point,ch_ved_central_plant_kwh_15m,Northlake Thermal Plant,Central Plant,Central Plant Electric Service,Delivered kWh 15m,kWh,15,Electric,Analog,15,,Enter,,,,,,,,,,,Not entered,
Point,ch_ved_central_plant_kw_15m,Northlake Thermal Plant,Central Plant,Central Plant Electric Service,Demand kW 15m,kW,15,Electric,Analog,15,,Enter,,,,,,,,,,,Not entered,
Meter,sgu_admin_hall_gas,Northlake University,Admin Hall,Admin Hall Gas,,,,Natural Gas,,,,Enter,SYN-SGU-M-0050001,SGU-SET-0050001,,Sierra Gas Utility,1,SYN-SGU-A-0020001,,,,,Not entered,
Meter,sgu_science_center_gas,Northlake University,Science Center,Science Center Gas,,,,Natural Gas,,,,Enter,SYN-SGU-M-0050002,SGU-SET-0050002,,Sierra Gas Utility,1,SYN-SGU-A-0020002,,,,,Not entered,
Meter,sgu_library_gas,Northlake University,Library,Library Gas,,,,Natural Gas,,,,Enter,SYN-SGU-M-0050003,SGU-SET-0050003,,Sierra Gas Utility,1,SYN-SGU-A-0020003,,,,,Not entered,
Meter,sgu_student_center_gas,Northlake University,Student Center,Student Center Kitchen Gas,,,,Natural Gas,,,,Enter,SYN-SGU-M-0050004,SGU-SET-0050004,,Sierra Gas Utility,1,SYN-SGU-A-0020004,,,,,Not entered,
Point,ch_sgu_student_center_gas_register,Northlake University,Student Center,Student Center Kitchen Gas,Register Reading,Reading,43200,Natural Gas,Accumulator,,,"Enter, then capture the generated usage and rate-of-change points",,,,,,,,,,,Not entered,
Point,ch_sgu_student_center_therms_route,Northlake University,Student Center,Student Center Kitchen Gas,Route Usage Therms,Therms,43200,Natural Gas,AccumulatorDelta,,,Generated by EEM with its register point,,,,,,,,,,,Not entered,
Meter,sgu_lakeview_hall_gas,Northlake University,Lakeview Residence Hall,Lakeview Hall Gas,,,,Natural Gas,,,,Enter,SYN-SGU-M-0050005,SGU-SET-0050005,,Sierra Gas Utility,1,SYN-SGU-A-0020005,,,,,Not entered,
Meter,sgu_recreation_center_pool_gas,Northlake University,Recreation and Aquatics Center,Recreation Center Pool Gas,,,,Natural Gas,,,,Enter,SYN-SGU-M-0050006,SGU-SET-0050006,,Sierra Gas Utility,1,SYN-SGU-A-0020006,,,,,Not entered,
Meter,sgu_cedar_row_a_house_gas,Cedar Row Apartments,Cedar Row A,Cedar Row A Gas House,,,,Natural Gas,,,,Enter,SYN-SGU-M-0050007,SGU-SET-0050007,,Sierra Gas Utility,1,SYN-SGU-A-0020007,,,,,Not entered,
Meter,sgu_cedar_row_b_house_gas,Cedar Row Apartments,Cedar Row B,Cedar Row B Gas House,,,,Natural Gas,,,,Enter,SYN-SGU-M-0050008,SGU-SET-0050008,,Sierra Gas Utility,1,SYN-SGU-A-0020008,,,,,Not entered,
Meter,sgu_cedar_row_common_house_gas,Cedar Row Apartments,Cedar Row Common House,Common House Gas,,,,Natural Gas,,,,Enter,SYN-SGU-M-0050009,SGU-SET-0050009,,Sierra Gas Utility,1,SYN-SGU-A-0020009,,,,,Not entered,
Meter,sgu_central_plant_boiler_gas,Northlake Thermal Plant,Central Plant,Central Plant Boiler Gas,,,,Natural Gas,,,,Enter,SYN-SGU-M-0050010,SGU-SET-0050010,,Sierra Gas Utility,1,SYN-SGU-A-0020010,,,,,Not entered,
Meter,rcu_admin_hall_water,Northlake University,Admin Hall,Admin Hall Domestic Water,,,,Water,,,,Enter,SYN-RCU-M-0060001,RCU-DEV-0060001,,River City Utilities,1,SYN-RCU-A-0030001,,,,,Not entered,
Meter,rcu_science_center_water,Northlake University,Science Center,Science Center Domestic Water,,,,Water,,,,Enter,SYN-RCU-M-0060005,RCU-DEV-0060005,,River City Utilities,1,SYN-RCU-A-0030005,,,,,Not entered,
Meter,rcu_library_water,Northlake University,Library,Library Domestic Water,,,,Water,,,,Enter,SYN-RCU-M-0060006,RCU-DEV-0060006,,River City Utilities,1,SYN-RCU-A-0030006,,,,,Not entered,
Meter,rcu_student_center_water,Northlake University,Student Center,Student Center Domestic Water,,,,Water,,,,Enter,SYN-RCU-M-0060002,RCU-DEV-0060002,,River City Utilities,1,SYN-RCU-A-0030002,,,,,Not entered,
Meter,rcu_lakeview_hall_water,Northlake University,Lakeview Residence Hall,Lakeview Hall Domestic Water,,,,Water,,,,Enter,SYN-RCU-M-0060007,RCU-DEV-0060007,,River City Utilities,1,SYN-RCU-A-0030007,,,,,Not entered,
Meter,rcu_recreation_center_water,Northlake University,Recreation and Aquatics Center,Recreation Center Domestic Water,,,,Water,,,,Enter,SYN-RCU-M-0060008,RCU-DEV-0060008,,River City Utilities,1,SYN-RCU-A-0030008,,,,,Not entered,
