Object kind,Source reference,Company,Location,Meter,Point,Unit,Interval minutes,Installed point ID,Installed meter ID,Installed gateway ID,Installed node ID,Status,Evidence
Point,ch_ved_admin_hall_kwh_monthly,Northlake University,Admin Hall,Admin Hall Electric Main,Delivered kWh,kWh,,,,,,Not entered,
Point,ch_ved_admin_hall_kw_monthly,Northlake University,Admin Hall,Admin Hall Electric Main,Billing Demand kW,kW,,,,,,Not entered,
Point,ch_sgu_admin_hall_therms_monthly,Northlake University,Admin Hall,Admin Hall Gas Meter,Gas Therms,therms,,,,,,Not entered,
Point,ch_rcu_admin_hall_water_kgal_monthly,Northlake University,Admin Hall,Admin Hall Municipal Water,Potable Water,kgal,,,,,,Not entered,
Point,ch_rcu_admin_hall_sewer_kgal_monthly,Northlake University,Admin Hall,Admin Hall Municipal Water,Derived Sewer Volume,kgal,,,,,,Not entered,
Point,ch_rcu_admin_hall_stormwater_eru_monthly,Northlake University,Admin Hall,Admin Hall Municipal Water,Stormwater ERUs,eru,,,,,,Not entered,
Point,ch_ved_science_center_kwh_15m,Northlake University,Applied Science Center,Applied Science Electric Interval,Delivered kWh 15m,kWh,15,,,,,Not entered,
Point,ch_ved_science_center_kw_15m,Northlake University,Applied Science Center,Applied Science Electric Interval,Billing Demand kW 15m,kW,15,,,,,Not entered,
Point,ch_sgu_science_center_therms_monthly,Northlake University,Applied Science Center,Applied Science Gas Meter,Gas Therms,therms,,,,,,Not entered,
Point,ch_hos_science_center_gen_kwh_15m,Northlake University,Applied Science Center,Applied Science PV Array,PV Generated kWh 15m,kWh,15,,,,,Not entered,
Point,ch_hos_science_center_export_kwh_15m,Northlake University,Applied Science Center,Applied Science PV Array,PV Exported kWh 15m,kWh,15,,,,,Not entered,
Point,ch_hos_science_center_gen_kw_15m,Northlake University,Applied Science Center,Applied Science PV Array,PV Generated kW 15m,kW,15,,,,,Not entered,
Point,ch_spinwave_science_lab_temp_f_15m,Northlake University,Applied Science Center,Applied Science Environmental Sensors,Lab Air Temperature,degF,15,,,,,Not entered,
Point,ch_spinwave_science_lab_rh_15m,Northlake University,Applied Science Center,Applied Science Environmental Sensors,Lab Relative Humidity,pct,15,,,,,Not entered,
Point,ch_ved_library_kwh_monthly_old,Northlake University,Main Library,Main Library Electric Old Meter,Delivered kWh Old Meter,kWh,,,,,,Not entered,
Point,ch_ved_library_kwh_monthly_new,Northlake University,Main Library,Main Library Electric New Meter,Delivered kWh New Meter,kWh,,,,,,Not entered,
Point,ch_sgu_library_therms_monthly,Northlake University,Main Library,Main Library Gas Meter,Gas Therms,therms,,,,,,Not entered,
Point,ch_odbc_library_electric_kwh_15m,Northlake University,Main Library,Main Library Electric Historian,Historian Delivered kWh 15m,kWh,15,,,,,Not entered,
Point,ch_ved_student_center_kwh_15m,Northlake University,Student Center,Student Center Electric Interval,Delivered kWh 15m,kWh,15,,,,,Not entered,
Point,ch_ved_student_center_kw_15m,Northlake University,Student Center,Student Center Electric Interval,Demand kW 15m,kW,15,,,,,Not entered,
Point,ch_sgu_student_center_therms_monthly,Northlake University,Student Center,Student Center Gas Meter,Gas Therms Usage,therms,43200,,,,,Not entered,
Point,eem_sgu_student_center_gas_register_reading,Northlake University,Student Center,Student Center Gas Meter,Gas Register Reading,Reading,43200,,,,,Not entered,
Point,ch_rcu_student_center_water_kgal_monthly,Northlake University,Student Center,Student Center Municipal Water,Potable Water,kgal,,,,,,Not entered,
Point,ch_rcu_student_center_sewer_kgal_monthly,Northlake University,Student Center,Student Center Municipal Water,Derived Sewer Volume,kgal,,,,,,Not entered,
Point,ch_rcu_student_center_stormwater_eru_monthly,Northlake University,Student Center,Student Center Municipal Water,Stormwater ERUs,eru,,,,,,Not entered,
Point,ch_hos_student_center_gen_kwh_15m,Northlake University,Student Center,Student Center PV Array,PV Generated kWh 15m,kWh,15,,,,,Not entered,
Point,ch_hos_student_center_export_kwh_15m,Northlake University,Student Center,Student Center PV Array,PV Exported kWh 15m,kWh,15,,,,,Not entered,
Point,ch_hos_student_center_gen_kw_15m,Northlake University,Student Center,Student Center PV Array,PV Generated kW 15m,kW,15,,,,,Not entered,
Point,ch_fake_gateway_smoke_kwh_15m,Northlake University,Student Center,Student Center Fake Gateway Smoke,Fake Gateway Smoke kWh 15m,kWh,15,,,,,Not entered,
Point,ch_ved_cedar_row_a_kwh_monthly,Cedar Row Apartments,Cedar Row A,Cedar Row A Common Electric,Common Area kWh,kWh,,,,,,Not entered,
Point,ch_rcu_cedar_row_a_water_kgal_monthly,Cedar Row Apartments,Cedar Row A,Cedar Row A Municipal Water,Potable Water,kgal,,,,,,Not entered,
Point,ch_rcu_cedar_row_a_sewer_kgal_monthly,Cedar Row Apartments,Cedar Row A,Cedar Row A Municipal Water,Derived Sewer Volume,kgal,,,,,,Not entered,
Point,ch_fig_cedar_row_a_water_kgal_60m,Cedar Row Apartments,Cedar Row A,Cedar Row A Municipal Water,FIG Water Interval,kgal,60,,,,,Not entered,
Point,ch_hos_cedar_row_a_gen_kwh_15m,Cedar Row Apartments,Cedar Row A,Cedar Row A Solar Carport,PV Generated kWh 15m,kWh,15,,,,,Not entered,
Point,ch_hos_cedar_row_a_export_kwh_15m,Cedar Row Apartments,Cedar Row A,Cedar Row A Solar Carport,PV Exported kWh 15m,kWh,15,,,,,Not entered,
Point,ch_ved_cedar_row_b_kwh_monthly,Cedar Row Apartments,Cedar Row B,Cedar Row B Common Electric,Common Area kWh,kWh,,,,,,Not entered,
Point,ch_rcu_cedar_row_b_water_kgal_monthly,Cedar Row Apartments,Cedar Row B,Cedar Row B Municipal Water,Potable Water Usage,kgal,43200,,,,,Not entered,
Point,eem_rcu_cedar_row_b_water_register_reading,Cedar Row Apartments,Cedar Row B,Cedar Row B Municipal Water,Water Register Reading,Reading,43200,,,,,Not entered,
